OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S,COLLISION_PROBABILITY_MC,RISK_LEVEL,COUNTRY_A,OPERATOR_A,COUNTRY_B,OPERATOR_B,OBJECT_A_TYPE,OBJECT_B_TYPE,COLLISION_TYPE,REENTRY_LIKELIHOOD_A,REENTRY_LIKELIHOOD_B,REENTRY_CONCERN,CROSS_BORDER,COORDINATION_REQUIRED
CUTE-1.7+APD II (CO-65),32785,STARS (KUKAI),33498,2026-09-01 06:02:48.261172+00:00,59.518904643852245,4.207585082596696,0.0,LOW,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
IRIDIUM 33 DEB,33862,COSMO-SKYMED 2,32376,2026-09-01 04:41:48.261172+00:00,59.93000433291967,14.36793623323055,0.0,LOW,USA,Iridium Communications,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
FENGYUN 1C DEB,29734,COSMOS 2439,32956,2026-08-31 07:54:48.261172+00:00,60.50239317642964,14.103721283402162,0.0,LOW,China,CNSA,Russia,Roscosmos,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
HUANJING 1A (HJ-1A),33320,STARS (KUKAI),33498,2026-08-29 20:15:48.261172+00:00,60.60898115784799,4.208724545554827,0.0,LOW,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
IRIDIUM 33 DEB,33775,RADARSAT-2,32382,2026-09-01 04:27:48.261172+00:00,61.45120097273482,6.17567198861425,0.0,LOW,USA,Iridium Communications,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
FENGYUN 1C DEB,29737,IRIDIUM 33 DEB,33866,2026-08-29 13:53:48.261172+00:00,61.93879449625968,14.945883624399904,0.0,LOW,China,CNSA,USA,Iridium Communications,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
COSMOS 2251 DEB,33760,RADARSAT-2,32382,2026-09-01 12:43:48.261172+00:00,62.56066969832324,10.87236999184934,0.0,LOW,Russia,Roscosmos,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
YAOGAN-3,32289,COSMO-SKYMED 2,32376,2026-08-28 14:07:48.261172+00:00,62.703619292017805,14.539132435755652,0.0,LOW,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
IRIDIUM 33 DEB,33777,CARTOSAT-2A,32783,2026-09-01 19:51:48.261172+00:00,63.16225094076253,2.00600661388303,0.0,LOW,USA,Iridium Communications,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
CUTE-1.7+APD II (CO-65),32785,HUANJING 1B (HJ-1B),33321,2026-08-30 22:14:48.261172+00:00,63.62340580963425,0.3791174792534191,0.0,LOW,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
FENGYUN 1C DEB,29735,COSMOS 2251 DEB,33764,2026-09-03 01:13:48.261172+00:00,64.1351123341439,4.3874690602834505,0.0,LOW,China,CNSA,Russia,Roscosmos,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
IRIDIUM 33 DEB,33866,COSMOS 2251,22675,2026-09-01 13:32:48.261172+00:00,65.34248577855399,14.13781966842257,0.0,LOW,USA,Iridium Communications,Russia,Roscosmos,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
STARS (KUKAI),33498,KKS-1 (KISEKI),33499,2026-08-30 07:30:48.261172+00:00,66.01281057750192,3.4569246545901544,0.0,LOW,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,False,False
IRIDIUM 33 DEB,33860,HUANJING 1A (HJ-1A),33320,2026-08-30 22:11:48.261172+00:00,67.24374878239028,5.955856830587287,0.0,LOW,USA,Iridium Communications,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
UOSAT 2 (UO-11),14781,CANX-2,32790,2026-08-29 19:56:48.261172+00:00,67.30101536820851,2.144998682936304,0.0,LOW,UK,Surrey Satellite Technology,Unknown,Unknown,Unknown,Unknown,Unknown,Not assessed,Not assessed,False,True,False
