OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S,SIGMA_A_KM,SIGMA_B_KM,MC_COLLISION_HITS,MC_SAMPLES,COLLISION_PROBABILITY_MC,MC_UPPER_95_PROBABILITY,INCLINATION_DIFFERENCE_DEG,ALTITUDE_DIFFERENCE_KM,QAE_TARGET_PROBABILITY,QAE_ESTIMATED_PROBABILITY,QAE_AMPLIFICATION,QAE_SCALED_PROBABILITY,QAE_SCALED_ESTIMATE,QAE_TARGET_SCALED_PROBABILITY,MC_PROBABILITY,QAE_ABSOLUTE_ERROR,MC_ABSOLUTE_ERROR,QAE_RELATIVE_ERROR,MC_RELATIVE_ERROR,QAE_EXECUTION_TIME_S,MODEL_EXECUTION_TIME_S,QAE_SHOTS,QAE_MEASUREMENTS
USA 119,23893,DIWATA 2B,43678,2026-09-06 00:16:38.987744+00:00,45.454821414895065,12.58623272230416,13.389381052222223,215.10149185319443,0,1000000,0.0,2.995732273553991e-06,34.7847,518.8143216210601,2.0787428390509603e-13,2.059253756229891e-13,4810599854.94187,0.001,0.0009906245821008014,0.001,0.0,1.9489082821069353e-15,2.0787428390509603e-13,0.009375417899198631,1.0,0.9604709999985062,0.00016760000107751694,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 2.0787428390509603e-13, 'amplification': 4810599854.94187, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 2.059253756229891e-13, 'target_scaled_probability': 0.001}"
COSMOS 2251 DEB,33760,ORBCOMM FM04,25159,2026-09-04 19:43:38.987744+00:00,47.48146359591293,14.917422737524069,16.785269087222222,12.498732362222222,0,1000000,0.0,2.995732273553991e-06,33.9286,0.1126454510667827,1.769911914317623e-11,1.7533182504761247e-11,56499986.91519871,0.001,0.0009906245821008014,0.001,0.0,1.65936638414983e-13,1.769911914317623e-11,0.0093754178991986,1.0,0.9463765000000421,0.0002972999991470715,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 1.769911914317623e-11, 'amplification': 56499986.91519871, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 1.7533182504761247e-11, 'target_scaled_probability': 0.001}"
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33766,2026-09-03 03:40:38.987744+00:00,51.60971991321022,4.469460961905809,13.56009712722222,13.521195797222225,0,1000000,0.0,2.995732273553991e-06,12.119099999999989,29.80642786997032,8.019910632625115e-12,7.944720618930028e-12,124689668.72672935,0.001,0.0009906245821008014,0.001,0.0,7.519001369508677e-14,8.019910632625115e-12,0.009375417899198612,1.0,0.9827301999994233,0.00037480000173673034,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 8.019910632625115e-12, 'amplification': 124689668.72672935, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 7.944720618930028e-12, 'target_scaled_probability': 0.001}"
IRIDIUM 33 DEB,33776,COSMOS 2251 DEB,33758,2026-09-04 23:55:38.987744+00:00,53.51946128110807,11.618476818412988,17.027900402222222,17.04702796722222,0,1000000,0.0,2.995732273553991e-06,12.383299999999991,47.57683632547105,1.2905769902614786e-11,1.2784772916466874e-11,77484722.53463887,0.001,0.0009906245821008014,0.001,0.0,1.2099698614791136e-13,1.2905769902614786e-11,0.009375417899198454,1.0,0.9586507999993046,0.00016150000010384247,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 1.2905769902614786e-11, 'amplification': 77484722.53463887, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 1.2784772916466874e-11, 'target_scaled_probability': 0.001}"
RIGIDSPHERE 2 (LCS 4),5398,ITAMSAT (IO-26),22826,2026-09-03 15:37:38.987744+00:00,55.60644436879602,1.4876913960899285,9.71082688222222,9.959751447222224,0,1000000,0.0,2.995732273553991e-06,11.053000000000011,21.79923720089846,2.6784885194420357e-13,2.6533765702340607e-13,3733448893.81237,0.001,0.0009906245821008014,0.001,0.0,2.5111949207975064e-15,2.6784885194420357e-13,0.009375417899198692,1.0,0.9756567999993422,0.00015669999993406236,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 2.6784885194420357e-13, 'amplification': 3733448893.81237, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 2.6533765702340607e-13, 'target_scaled_probability': 0.001}"
OSCAR 7 (AO-7),7530,AJISAI (EGS),16908,2026-09-02 05:04:38.987744+00:00,56.15356637810265,6.368441188391394,7.421383747222222,7.439441302222223,0,1000000,0.0,2.995732273553991e-06,51.98309999999999,38.45261993339318,1.1546769662341958e-15,1.1438513871371715e-15,866043083254.1405,0.001,0.0009906245821008014,0.001,0.0,1.0825579097024278e-17,1.1546769662341958e-15,0.00937541789919848,1.0,0.9406883999999991,0.00018209999871032778,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 1.1546769662341958e-15, 'amplification': 866043083254.1405, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 1.1438513871371715e-15, 'target_scaled_probability': 0.001}"
IRIDIUM 33 DEB,33853,TECHSAT 1B (GO-32),25397,2026-09-01 04:13:38.987744+00:00,56.4930318798698,1.7871447786903,11.33267200222222,5.905140897222222,0,1000000,0.0,2.995732273553991e-06,13.0171,83.60722955074925,5.815754486821147e-14,5.761229358108059e-14,17194673576.163864,0.001,0.0009906245821008014,0.001,0.0,5.452512871308779e-16,5.815754486821147e-14,0.009375417899198641,1.0,0.9446673000002193,0.0002647000001161359,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 5.815754486821147e-14, 'amplification': 17194673576.163864, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 5.761229358108059e-14, 'target_scaled_probability': 0.001}"
COSMOS 2251 DEB,33760,COSMOS 2251 DEB,33768,2026-09-03 10:43:38.987744+00:00,57.11299686708805,0.4020208327935258,14.722769087222222,13.995986657222222,0,1000000,0.0,2.995732273553991e-06,0.0374999999999943,268.25855929791214,4.875694593455629e-12,4.8299829190931195e-12,205098982.4797976,0.001,0.0009906245821008014,0.001,0.0,4.571167436250989e-14,4.875694593455629e-12,0.00937541789919863,1.0,0.9858863000008569,0.0001660999987507239,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 4.875694593455629e-12, 'amplification': 205098982.4797976, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 4.8299829190931195e-12, 'target_scaled_probability': 0.001}"
COSMOS 2251 DEB,33757,COSMOS 2251 DEB,33760,2026-09-04 20:13:38.987744+00:00,57.51586042718996,5.4570065035695166,16.638685702222222,16.816519087222222,0,1000000,0.0,2.995732273553991e-06,0.0024999999999977,10.546524599592884,8.365159423105397e-12,8.286732557720365e-12,119543447.9393066,0.001,0.0009906245821008014,0.001,0.0,7.842686538503221e-14,8.365159423105397e-12,0.009375417899198603,1.0,0.9712945000010222,0.00017669999942881986,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 8.365159423105397e-12, 'amplification': 119543447.9393066, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 8.286732557720365e-12, 'target_scaled_probability': 0.001}"
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33760,2026-09-01 09:52:38.987744+00:00,58.80981831879748,14.7662992858739,10.947597127222222,11.669644087222222,0,1000000,0.0,2.995732273553991e-06,12.272999999999996,30.33124436383514,6.055267907936513e-13,5.998497240808002e-13,1651454593.2630346,0.001,0.0009906245821008014,0.001,0.0,5.677066712851007e-15,6.055267907936513e-13,0.009375417899198473,1.0,0.946849400001156,0.00017999999909079634,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 6.055267907936513e-13, 'amplification': 1651454593.2630346, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 5.998497240808002e-13, 'target_scaled_probability': 0.001}"
COSMOS 2251 DEB,33760,RIGIDSPHERE 2 (LCS 4),5398,2026-09-02 14:52:38.987744+00:00,62.46905602720469,14.490350644135566,13.482144087222224,8.163951882222221,0,1000000,0.0,2.995732273553991e-06,13.591499999999996,7.089646515027198,2.1085646753136293e-13,2.088796000315076e-13,4742562614.785622,0.001,0.0009906245821008014,0.001,0.0,1.976867499855336e-15,2.1085646753136293e-13,0.009375417899198636,1.0,0.9562201000007917,0.00016839999989315402,4096,"{'grover_power_0': {'measured_probability': 0.000732421875, 'counts': {'0': 4093, '1': 3}}, 'grover_power_1': {'measured_probability': 0.0087890625, 'counts': {'0': 4060, '1': 36}}, 'grover_power_2': {'measured_probability': 0.026611328125, 'counts': {'0': 3987, '1': 109}}, 'grover_power_3': {'measured_probability': 0.047119140625, 'counts': {'1': 193, '0': 3903}}, 'grover_power_4': {'measured_probability': 0.079345703125, 'counts': {'0': 3771, '1': 325}}, 'grover_power_5': {'measured_probability': 0.114013671875, 'counts': {'0': 3629, '1': 467}}, 'original_probability': 2.1085646753136293e-13, 'amplification': 4742562614.785622, 'amplified_probability': 0.001, 'amplified_estimate': 0.0009906245821008014, 'scaled_estimate': 2.088796000315076e-13, 'target_scaled_probability': 0.001}"
