MISS_DISTANCE_KM,ANALYTIC_PC,QAE_ESTIMATE,QAE_ERROR,QAE_ORACLE_CALLS,QAE_RUNTIME_SEC,MC_ESTIMATE,MC_ERROR,MC_SAMPLES,MC_RUNTIME_SEC,OBJECT_A,OBJECT_B
8.377960020792786,8.390575783319395e-07,0.0,8.390575783319395e-07,12600,0.04160428047180176,0.0,8.390575783319395e-07,12600,0.001184225082397461,ORBCOMM FM06,SCD 2
19.523646241673703,3.856087864922088e-07,0.0,3.856087864922088e-07,12600,0.0053691864013671875,0.0,3.856087864922088e-07,12600,0.0005407333374023438,IRIDIUM 33 DEB,COSMOS 2251 DEB
21.576620677251253,3.122733610112535e-07,0.0,3.122733610112535e-07,12600,0.0028684139251708984,0.0,3.122733610112535e-07,12600,0.00022864341735839844,COSMOS 2251 DEB,STELLA
23.302117807186583,2.573105502058953e-07,0.0,2.573105502058953e-07,12600,0.002901315689086914,0.0,2.573105502058953e-07,12600,0.0002684593200683594,TECHSAT 1B (GO-32),WESTPAC
31.93247497047456,7.814363903394233e-08,0.0,7.814363903394233e-08,12600,0.0039310455322265625,0.0,7.814363903394233e-08,12600,0.0002837181091308594,STELLA,ITAMSAT (IO-26)
32.766688533631815,6.827996787257186e-08,0.0,6.827996787257186e-08,12600,0.003093242645263672,0.0,6.827996787257186e-08,12600,0.0002536773681640625,IRIDIUM 33 DEB,RIGIDSPHERE 2 (LCS 4)
32.80591667885567,6.784228692041175e-08,0.0,6.784228692041175e-08,12600,0.0030705928802490234,0.0,6.784228692041175e-08,12600,0.0002503395080566406,COSMOS 2251 DEB,SCD 2
35.25482766558378,4.4723502582436356e-08,0.0,4.4723502582436356e-08,12600,0.002924203872680664,0.0,4.4723502582436356e-08,12600,0.00022363662719726562,ITAMSAT (IO-26),FORTE
38.712336912539904,2.3597577989762722e-08,0.0,2.3597577989762722e-08,12600,0.002785921096801758,0.0,2.3597577989762722e-08,12600,0.00022029876708984375,IRIDIUM 33 DEB,IRIDIUM 33 DEB
40.13916653755986,1.781204772976999e-08,0.0,1.781204772976999e-08,12600,0.003137350082397461,0.0,1.781204772976999e-08,12600,0.0003910064697265625,RIGIDSPHERE 2 (LCS 4),FORTE
45.454821414895065,5.71106423382797e-09,0.0,5.71106423382797e-09,12600,0.002838134765625,0.0,5.71106423382797e-09,12600,0.00022482872009277344,USA 119,DIWATA 2B
47.48146359591293,3.5663195800761907e-09,0.0,3.5663195800761907e-09,12600,0.0029735565185546875,0.0,3.5663195800761907e-09,12600,0.0003535747528076172,COSMOS 2251 DEB,ORBCOMM FM04
51.60971991321022,1.2825498088694508e-09,0.0,1.2825498088694508e-09,12600,0.0029320716857910156,0.0,1.2825498088694508e-09,12600,0.0002200603485107422,IRIDIUM 33 DEB,COSMOS 2251 DEB
53.51946128110807,7.764108289398153e-10,0.0,7.764108289398153e-10,12600,0.0031654834747314453,0.0,7.764108289398153e-10,12600,0.0002315044403076172,IRIDIUM 33 DEB,COSMOS 2251 DEB
55.60644436879602,4.3936138931448183e-10,0.0,4.3936138931448183e-10,12600,0.004647731781005859,0.0,4.3936138931448183e-10,12600,0.0002467632293701172,RIGIDSPHERE 2 (LCS 4),ITAMSAT (IO-26)
56.15356637810265,3.7707965705039826e-10,0.0,3.7707965705039826e-10,12600,0.0033905506134033203,0.0,3.7707965705039826e-10,12600,0.0004324913024902344,OSCAR 7 (AO-7),AJISAI (EGS)
56.4930318798698,3.427006823022553e-10,0.0,3.427006823022553e-10,12600,0.002996683120727539,0.0,3.427006823022553e-10,12600,0.00046253204345703125,IRIDIUM 33 DEB,TECHSAT 1B (GO-32)
57.11299686708805,2.8737216201217357e-10,0.0,2.8737216201217357e-10,12600,0.002846956253051758,0.0,2.8737216201217357e-10,12600,0.00034046173095703125,COSMOS 2251 DEB,COSMOS 2251 DEB
57.51586042718996,2.560387221279643e-10,0.0,2.560387221279643e-10,12600,0.0027077198028564453,0.0,2.560387221279643e-10,12600,0.00026679039001464844,COSMOS 2251 DEB,COSMOS 2251 DEB
58.80981831879748,1.7574385303827559e-10,0.0,1.7574385303827559e-10,12600,0.0028388500213623047,0.0,1.7574385303827559e-10,12600,0.0002751350402832031,IRIDIUM 33 DEB,COSMOS 2251 DEB
62.46905602720469,5.794866506917287e-11,0.0,5.794866506917287e-11,12600,0.0028371810913085938,0.0,5.794866506917287e-11,12600,0.0002696514129638672,COSMOS 2251 DEB,RIGIDSPHERE 2 (LCS 4)
67.57489584520273,1.1018761322069851e-11,0.0,1.1018761322069851e-11,12600,0.0028879642486572266,0.0,1.1018761322069851e-11,12600,0.0005900859832763672,COSMOS 2251 DEB,ORBCOMM FM04
