OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S,COLLISION_PROBABILITY_MC
IRIDIUM 33 DEB,33866,WESTPAC,25398,2026-09-01 16:16:02.398776+00:00,54.14193601255004,12.103034458719288,0.0
COSMOS 2251 DEB,33760,COSMOS 2251 DEB,33768,2026-09-03 10:44:02.398776+00:00,54.54999541309913,0.4024112437621041,0.0
IRIDIUM 33 DEB,33776,STELLA,22824,2026-09-04 07:19:02.398776+00:00,55.31124633981547,2.7549706102345093,0.0
IRIDIUM 33 DEB,33853,STARLETTE,7646,2026-08-31 00:55:02.398776+00:00,55.36872878986557,8.462064604005139,0.0
IRIDIUM 33 DEB,33775,ORBCOMM FM06,25118,2026-09-01 14:36:02.398776+00:00,55.8533603961441,11.43501630597392,0.0
COSMOS 2251 DEB,33768,JAS-2 (FO-29),24278,2026-09-05 03:28:02.398776+00:00,56.498138633522096,8.373368817530547,0.0
IRIDIUM 33 DEB,33853,RIGIDSPHERE 2 (LCS 4),5398,2026-08-31 05:26:02.398776+00:00,56.79680105622795,9.886029469504372,0.0
COSMOS 2251 DEB,33766,ORBCOMM FM19,25415,2026-09-02 07:15:02.398776+00:00,57.52108451606082,12.158953786945926,0.0
COSMOS 2251 DEB,33762,WESTPAC,25398,2026-09-01 10:13:02.398776+00:00,58.18017854791,6.176628698328516,0.0
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33766,2026-09-03 03:41:02.398776+00:00,58.1981818318984,4.469294517945004,0.0
IRIDIUM 33 DEB,33860,IRIDIUM 33 DEB,37548,2026-08-29 07:46:02.398776+00:00,58.73759451138166,2.3869735151751685,0.0
COSMOS 2251 DEB,33761,SCD 2,25504,2026-08-31 16:16:02.398776+00:00,59.8309432750603,11.257095034937343,0.0
RIGIDSPHERE 2 (LCS 4),5398,SCD 2,25504,2026-08-29 09:34:02.398776+00:00,61.04570322868364,8.010107654837078,0.0
JAS-2 (FO-29),24278,WESTPAC,25398,2026-09-03 13:58:02.398776+00:00,61.43645303020018,14.309502436913276,0.0
IRIDIUM 33 DEB,37548,IRIDIUM 33 DEB,37550,2026-08-29 16:02:02.398776+00:00,62.05368778230285,2.8379998969895044,0.0
FORTE,24920,ORBCOMM FM27,25481,2026-09-02 09:17:02.398776+00:00,63.43747721973906,11.460232913183056,0.0
COSMOS 2251 DEB,33761,SCD 1,22490,2026-09-03 14:11:02.398776+00:00,64.01864927931847,6.927805742841845,0.0
IRIDIUM 33 DEB,33775,IRIDIUM 33 DEB,33777,2026-09-04 15:39:02.398776+00:00,64.30588816463515,2.160506677561341,0.0
IRIDIUM 33 DEB,33862,COSMOS 2251 DEB,33761,2026-09-02 22:54:02.398776+00:00,64.37312490322134,14.53239442181436,0.0
EYESAT A (AO-27),22825,WESTPAC,25398,2026-09-04 02:27:02.398776+00:00,64.48021087337321,9.407640668100203,0.0
FENGYUN 1C DEB,29737,WESTPAC,25398,2026-09-05 02:59:02.398776+00:00,65.32162918326459,8.701910340819206,0.0
COSMOS 2251 DEB,33760,ORBCOMM FM04,25159,2026-09-04 21:24:02.398776+00:00,65.39764747906058,14.917167390220657,0.0
IRIDIUM 33 DEB,33775,LUSAT (LO-19),20442,2026-09-02 08:49:02.398776+00:00,65.43253186881304,3.902789857370329,0.0
ORBCOMM FM20,25416,SCD 2,25504,2026-09-01 15:56:02.398776+00:00,65.89624137779421,5.452351907812564,0.0
ORBCOMM FM06,25118,ORBCOMM FM19,25415,2026-09-04 14:21:02.398776+00:00,66.15552635351244,10.489155031222758,0.0
STELLA,22824,ORBCOMM FM20,25416,2026-08-31 07:01:02.398776+00:00,66.35705606852164,8.707252904398864,0.0
COSMOS 2251 DEB,33766,SCD 2,25504,2026-09-04 04:23:02.398776+00:00,66.43655784326052,8.191961435586286,0.0
IRIDIUM 33 DEB,37548,RIGIDSPHERE 2 (LCS 4),5398,2026-09-02 15:04:02.398776+00:00,66.51965326320321,3.733256801142988,0.0
COSMOS 2251 DEB,33760,SCD 1,22490,2026-08-29 09:12:02.398776+00:00,66.68210346549263,7.353977013201066,0.0
COSMOS 2251 DEB,33761,STELLA,22824,2026-09-02 21:42:02.398776+00:00,67.14463687480334,14.84504368743128,0.0
IRIDIUM 33 DEB,33853,COSMOS 2251 DEB,33766,2026-09-01 02:09:02.398776+00:00,67.21928558702821,14.059290606458454,0.0
IRIDIUM 33 DEB,33853,STELLA,22824,2026-08-29 19:04:02.398776+00:00,67.29133734242075,8.708622961290688,0.0
