OBJECT_A,NORAD_A,OBJECT_B,NORAD_B,TCA,MISS_DISTANCE_KM,RELATIVE_VELOCITY_KM_S,ANALYTIC_PC,CLASSIFICATION
COSMOS 2251 DEB,33757,FORTE,24920,2026-08-29T20:37:02.398776+00:00,30.562210199758127,0.548733266825216,9.679876305148367e-08,FALSE_POSITIVE
EYESAT A (AO-27),22825,TECHSAT 1B (GO-32),25397,2026-09-03T17:13:02.398776+00:00,32.11391299428729,8.704049516345048,7.590613784076997e-08,FALSE_POSITIVE
COSMOS 2251 DEB,33760,ITAMSAT (IO-26),22826,2026-08-31T16:45:02.398776+00:00,32.135491368798114,14.417906035690422,7.564350314110344e-08,FALSE_POSITIVE
IRIDIUM 33 DEB,33850,IRIDIUM 33 DEB,37548,2026-09-03T07:36:02.398776+00:00,34.938889125269014,1.519678489983899,4.727309755399518e-08,FALSE_POSITIVE
LUSAT (LO-19),20442,STELLA,22824,2026-08-31T10:39:02.398776+00:00,35.48450434444642,5.106647079539858,4.294332536116828e-08,FALSE_POSITIVE
IRIDIUM 33 DEB,33775,EYESAT A (AO-27),22825,2026-09-03T15:21:02.398776+00:00,36.128719310089885,2.771473892439272,3.826537778673318e-08,FALSE_POSITIVE
COSMOS 2251 DEB,33768,STELLA,22824,2026-09-04T22:11:02.398776+00:00,36.98608691181746,14.763279097714516,3.271487692645711e-08,FALSE_POSITIVE
COSMOS 2251 DEB,33762,ORBCOMM FM20,25416,2026-09-03T07:46:02.398776+00:00,39.04820931551081,6.782622919462381,2.210602195515831e-08,FALSE_POSITIVE
IRIDIUM 33 DEB,33860,OPS 5712 (P/L 160),2826,2026-09-04T02:27:02.398776+00:00,39.05773073318618,8.094038042483728,2.2064960681914323e-08,FALSE_POSITIVE
IRIDIUM 33 DEB,33776,RIGIDSPHERE 2 (LCS 4),5398,2026-09-03T12:49:02.398776+00:00,39.52948011781207,1.6283609597841275,2.0111810634280433e-08,FALSE_POSITIVE
COSMOS 2251 DEB,33760,FORTE,24920,2026-09-01T09:29:02.398776+00:00,41.38636385913162,5.169989447177282,1.3813952557999286e-08,FALSE_POSITIVE
SCD 1,22490,EYESAT A (AO-27),22825,2026-09-03T21:42:02.398776+00:00,41.43572935007565,12.4393800544943,1.3673474090396369e-08,FALSE_POSITIVE
IRIDIUM 33 DEB,33776,SCD 2,25504,2026-08-29T06:19:02.398776+00:00,41.43657238611972,7.676569548974258,1.367108607962358e-08,FALSE_POSITIVE
RIGIDSPHERE 2 (LCS 4),5398,FORTE,24920,2026-09-02T14:58:02.398776+00:00,42.02410471072185,12.591393166415264,1.2093807499125821e-08,FALSE_POSITIVE
IRIDIUM 33 DEB,33773,ITAMSAT (IO-26),22826,2026-08-29T21:36:02.398776+00:00,42.73521456203613,1.602445599130761,1.0402130622323793e-08,FALSE_POSITIVE
IRIDIUM 33 DEB,33853,ITAMSAT (IO-26),22826,2026-09-02T19:08:02.398776+00:00,42.75118733057892,9.591233975908516,1.036668208821693e-08,FALSE_POSITIVE
IRIDIUM 33 DEB,33853,TECHSAT 1B (GO-32),25397,2026-09-01T04:13:02.398776+00:00,43.51179492941331,1.787797475178983,8.798369327568633e-09,FALSE_POSITIVE
IRIDIUM 33 DEB,33775,SCD 2,25504,2026-08-31T04:36:02.398776+00:00,43.914429372536986,8.081820553604164,8.05718646525458e-09,FALSE_POSITIVE
COSMOS 2251 DEB,33764,ORBCOMM FM04,25159,2026-09-02T06:52:02.398776+00:00,46.59040173638953,14.943154942797642,4.3977526866747685e-09,FALSE_POSITIVE
COSMOS 2251 DEB,33761,ITAMSAT (IO-26),22826,2026-09-02T00:54:02.398776+00:00,48.81267491119812,14.868346222543488,2.588464071872317e-09,FALSE_POSITIVE
IRIDIUM 33 DEB,33777,IRIDIUM 33 DEB,37548,2026-09-02T04:20:02.398776+00:00,48.94340302985705,1.058792333643349,2.507073214913827e-09,FALSE_POSITIVE
COSMOS 2251 DEB,33761,STARLETTE,7646,2026-08-31T20:10:02.398776+00:00,51.24830341156292,5.4275409082125,1.4074598509663653e-09,FALSE_POSITIVE
STARLETTE,7646,STELLA,22824,2026-09-01T04:54:02.398776+00:00,51.619463997060194,13.834189637237646,1.2793286540704858e-09,FALSE_POSITIVE
COSMOS 2251 DEB,33757,COSMOS 2251 DEB,33760,2026-09-04T21:54:02.398776+00:00,52.01620918684648,5.457029767161166,1.154356580583252e-09,FALSE_POSITIVE
ITAMSAT (IO-26),22826,ORBCOMM FM27,25481,2026-09-04T15:11:02.398776+00:00,52.22062364581182,6.749869823338433,1.0944745146967682e-09,FALSE_POSITIVE
FENGYUN 1C DEB,29738,IRIDIUM 33 DEB,33850,2026-09-02T05:45:02.398776+00:00,52.753343026086135,11.118846095480896,9.516768515662694e-10,FALSE_POSITIVE
IRIDIUM 33 DEB,33775,COSMOS 2251 DEB,33758,2026-08-30T00:55:02.398776+00:00,53.75966108132424,14.119162103266248,7.279706792578389e-10,FALSE_POSITIVE
IRIDIUM 33 DEB,33866,WESTPAC,25398,2026-09-01T16:16:02.398776+00:00,54.14193601255004,12.103034458719288,6.566430934895842e-10,FALSE_POSITIVE
COSMOS 2251 DEB,33760,COSMOS 2251 DEB,33768,2026-09-03T10:44:02.398776+00:00,54.54999541309913,0.4024112437621041,5.877247809208238e-10,FALSE_POSITIVE
IRIDIUM 33 DEB,33776,STELLA,22824,2026-09-04T07:19:02.398776+00:00,55.31124633981547,2.7549706102345093,4.768390215823207e-10,FALSE_POSITIVE
IRIDIUM 33 DEB,33853,STARLETTE,7646,2026-08-31T00:55:02.398776+00:00,55.36872878986557,8.462064604005139,4.693147117375467e-10,FALSE_POSITIVE
IRIDIUM 33 DEB,33775,ORBCOMM FM06,25118,2026-09-01T14:36:02.398776+00:00,55.8533603961441,11.43501630597392,4.1014849973795085e-10,FALSE_POSITIVE
COSMOS 2251 DEB,33768,JAS-2 (FO-29),24278,2026-09-05T03:28:02.398776+00:00,56.498138633522096,8.373368817530547,3.422066777288475e-10,FALSE_POSITIVE
IRIDIUM 33 DEB,33853,RIGIDSPHERE 2 (LCS 4),5398,2026-08-31T05:26:02.398776+00:00,56.79680105622795,9.886029469504372,3.1444920877100806e-10,FALSE_POSITIVE
COSMOS 2251 DEB,33766,ORBCOMM FM19,25415,2026-09-02T07:15:02.398776+00:00,57.52108451606082,12.158953786945926,2.5565433650481097e-10,FALSE_POSITIVE
COSMOS 2251 DEB,33762,WESTPAC,25398,2026-09-01T10:13:02.398776+00:00,58.18017854791,6.176628698328516,2.1127938337419925e-10,FALSE_POSITIVE
IRIDIUM 33 DEB,33866,COSMOS 2251 DEB,33766,2026-09-03T03:41:02.398776+00:00,58.1981818318984,4.469294517945004,2.1017559970956656e-10,FALSE_POSITIVE
IRIDIUM 33 DEB,33860,IRIDIUM 33 DEB,37548,2026-08-29T07:46:02.398776+00:00,58.73759451138166,2.3869735151751685,1.7951375744392242e-10,FALSE_POSITIVE
COSMOS 2251 DEB,33761,SCD 2,25504,2026-08-31T16:16:02.398776+00:00,59.8309432750603,11.257095034937343,1.298214571173886e-10,FALSE_POSITIVE
RIGIDSPHERE 2 (LCS 4),5398,SCD 2,25504,2026-08-29T09:34:02.398776+00:00,61.04570322868364,8.010107654837078,8.993345513601437e-11,FALSE_POSITIVE
JAS-2 (FO-29),24278,WESTPAC,25398,2026-09-03T13:58:02.398776+00:00,61.43645303020018,14.309502436913276,7.979177058821797e-11,FALSE_POSITIVE
IRIDIUM 33 DEB,37548,IRIDIUM 33 DEB,37550,2026-08-29T16:02:02.398776+00:00,62.05368778230285,2.8379998969895044,6.5947861517729e-11,FALSE_POSITIVE
FORTE,24920,ORBCOMM FM27,25481,2026-09-02T09:17:02.398776+00:00,63.43747721973906,11.460232913183056,4.272273859728203e-11,FALSE_POSITIVE
COSMOS 2251 DEB,33761,SCD 1,22490,2026-09-03T14:11:02.398776+00:00,64.01864927931847,6.927805742841845,3.55004915218861e-11,FALSE_POSITIVE
IRIDIUM 33 DEB,33775,IRIDIUM 33 DEB,33777,2026-09-04T15:39:02.398776+00:00,64.30588816463515,2.160506677561341,3.2375342380124984e-11,FALSE_POSITIVE
IRIDIUM 33 DEB,33862,COSMOS 2251 DEB,33761,2026-09-02T22:54:02.398776+00:00,64.37312490322134,14.53239442181436,3.1682586662672995e-11,FALSE_POSITIVE
EYESAT A (AO-27),22825,WESTPAC,25398,2026-09-04T02:27:02.398776+00:00,64.48021087337321,9.407640668100203,3.060830169524878e-11,FALSE_POSITIVE
FENGYUN 1C DEB,29737,WESTPAC,25398,2026-09-05T02:59:02.398776+00:00,65.32162918326459,8.701910340819206,2.329473323753422e-11,FALSE_POSITIVE
COSMOS 2251 DEB,33760,ORBCOMM FM04,25159,2026-09-04T21:24:02.398776+00:00,65.39764747906058,14.917167390220657,2.2723159905623754e-11,FALSE_POSITIVE
IRIDIUM 33 DEB,33775,LUSAT (LO-19),20442,2026-09-02T08:49:02.398776+00:00,65.43253186881304,3.902789857370329,2.2465366189195355e-11,FALSE_POSITIVE
ORBCOMM FM20,25416,SCD 2,25504,2026-09-01T15:56:02.398776+00:00,65.89624137779421,5.452351907812564,1.929274110375435e-11,FALSE_POSITIVE
ORBCOMM FM06,25118,ORBCOMM FM19,25415,2026-09-04T14:21:02.398776+00:00,66.15552635351244,10.489155031222758,1.771003380984016e-11,FALSE_POSITIVE
STELLA,22824,ORBCOMM FM20,25416,2026-08-31T07:01:02.398776+00:00,66.35705606852164,8.707252904398864,1.656626397557433e-11,FALSE_POSITIVE
COSMOS 2251 DEB,33766,SCD 2,25504,2026-09-04T04:23:02.398776+00:00,66.43655784326052,8.191961435586286,1.61347451427888e-11,FALSE_POSITIVE
IRIDIUM 33 DEB,37548,RIGIDSPHERE 2 (LCS 4),5398,2026-09-02T15:04:02.398776+00:00,66.51965326320321,3.733256801142988,1.56951996903682e-11,FALSE_POSITIVE
COSMOS 2251 DEB,33760,SCD 1,22490,2026-08-29T09:12:02.398776+00:00,66.68210346549263,7.353977013201066,1.4868699662840638e-11,FALSE_POSITIVE
COSMOS 2251 DEB,33761,STELLA,22824,2026-09-02T21:42:02.398776+00:00,67.14463687480334,14.84504368743128,1.2736985954029918e-11,FALSE_POSITIVE
IRIDIUM 33 DEB,33853,COSMOS 2251 DEB,33766,2026-09-01T02:09:02.398776+00:00,67.21928558702821,14.059290606458454,1.2421574240578825e-11,FALSE_POSITIVE
IRIDIUM 33 DEB,33853,STELLA,22824,2026-08-29T19:04:02.398776+00:00,67.29133734242075,8.708622961290688,1.2124224970047136e-11,FALSE_POSITIVE
