TRUE_PROBABILITY,EVAL_QUBITS,TRIAL,QAE_ERROR,MC_ERROR,ORACLE_CALLS
0.5,3,0,1.1102230246251565e-16,0.010000000000000009,700
0.5,3,1,1.1102230246251565e-16,0.03428571428571425,700
0.5,3,2,1.1102230246251565e-16,0.002857142857142836,700
0.5,3,3,1.1102230246251565e-16,0.011428571428571455,700
0.5,3,4,1.1102230246251565e-16,0.02857142857142858,700
0.5,3,5,1.1102230246251565e-16,0.021428571428571463,700
0.5,3,6,1.1102230246251565e-16,0.0014285714285714457,700
0.5,3,7,1.1102230246251565e-16,0.002857142857142836,700
0.5,3,8,1.1102230246251565e-16,0.005714285714285727,700
0.5,3,9,1.1102230246251565e-16,0.0485714285714286,700
0.5,5,0,1.1102230246251565e-16,0.016129032258064502,3100
0.5,5,1,1.1102230246251565e-16,0.015806451612903172,3100
0.5,5,2,1.1102230246251565e-16,0.001612903225806428,3100
0.5,5,3,1.1102230246251565e-16,0.004838709677419395,3100
0.5,5,4,1.1102230246251565e-16,0.010967741935483888,3100
0.5,5,5,1.1102230246251565e-16,0.010000000000000009,3100
0.5,5,6,1.1102230246251565e-16,0.0012903225806451535,3100
0.5,5,7,1.1102230246251565e-16,0.001935483870967758,3100
0.5,5,8,1.1102230246251565e-16,0.0041935483870967905,3100
0.5,5,9,1.1102230246251565e-16,0.01741935483870971,3100
0.5,7,0,1.1102230246251565e-16,0.008110236220472467,12700
0.5,7,1,1.1102230246251565e-16,0.007874015748031482,12700
0.5,7,2,1.1102230246251565e-16,0.0009448818897637712,12700
0.5,7,3,1.1102230246251565e-16,0.002283464566929183,12700
0.5,7,4,1.1102230246251565e-16,0.004881889763779568,12700
0.5,7,5,1.1102230246251565e-16,0.002283464566929183,12700
0.5,7,6,1.1102230246251565e-16,0.0007874015748031704,12700
0.5,7,7,1.1102230246251565e-16,0.0010236220472440993,12700
0.5,7,8,1.1102230246251565e-16,0.0023622047244094557,12700
0.5,7,9,1.1102230246251565e-16,0.001102362204724372,12700
0.5,9,0,1.1102230246251565e-16,0.004090019569471637,51100
0.5,9,1,1.1102230246251565e-16,0.003953033268101813,51100
0.5,9,2,1.1102230246251565e-16,0.00045009784735811076,51100
0.5,9,3,1.1102230246251565e-16,0.001115459882583214,51100
0.5,9,4,1.1102230246251565e-16,0.0023679060665362517,51100
0.5,9,5,1.1102230246251565e-16,0.001115459882583214,51100
0.5,9,6,1.1102230246251565e-16,0.0003913894324853451,51100
0.5,9,7,1.1102230246251565e-16,0.0005283757338551687,51100
0.5,9,8,1.1102230246251565e-16,0.0011937377690802164,51100
0.5,9,9,1.1102230246251565e-16,0.0005479452054794054,51100
0.5,11,0,1.1102230246251565e-16,0.0020566682950659554,204700
0.5,11,1,1.1102230246251565e-16,0.00198339032730821,204700
0.5,11,2,1.1102230246251565e-16,0.0002296042989741176,204700
0.5,11,3,1.1102230246251565e-16,0.0005569125549584886,204700
0.5,11,4,1.1102230246251565e-16,0.0011773326819736196,204700
0.5,11,5,1.1102230246251565e-16,0.0005520273571079093,204700
0.5,11,6,1.1102230246251565e-16,0.0002002931118710305,204700
0.5,11,7,1.1102230246251565e-16,0.0002735710796287205,204700
0.5,11,8,1.1102230246251565e-16,0.0005959941377625677,204700
0.5,11,9,1.1102230246251565e-16,0.0002784562774792443,204700
0.5,13,0,1.1102230246251565e-16,0.0010291783664997944,819100
0.5,13,1,1.1102230246251565e-16,0.0009913319497009132,819100
0.5,13,2,1.1102230246251565e-16,0.00011598095470638503,819100
0.5,13,3,1.1102230246251565e-16,0.00027835429129530187,819100
0.5,13,4,1.1102230246251565e-16,0.0005860090343059454,819100
0.5,13,5,1.1102230246251565e-16,0.00027591258698567156,819100
0.5,13,6,1.1102230246251565e-16,0.00010010987669395455,819100
0.5,13,7,1.1102230246251565e-16,0.00013673544133807614,819100
0.5,13,8,1.1102230246251565e-16,0.00030032963008180813,819100
0.5,13,9,1.1102230246251565e-16,0.00013917714564770645,819100
0.5,15,0,1.1102230246251565e-16,0.0005154576250496201,3276700
0.5,15,1,1.1102230246251565e-16,0.0004965361491744424,3276700
0.5,15,2,1.1102230246251565e-16,5.798516800437081e-05,3276700
0.5,15,3,1.1102230246251565e-16,0.00013946958830535205,3276700
0.5,15,4,1.1102230246251565e-16,0.0002929776909695869,3276700
0.5,15,5,1.1102230246251565e-16,0.0001382488479262367,3276700
0.5,15,6,1.1102230246251565e-16,5.005035554062065e-05,3276700
0.5,15,7,1.1102230246251565e-16,6.836146122624065e-05,3276700
0.5,15,8,1.1102230246251565e-16,0.00015015106662191746,3276700
0.5,15,9,1.1102230246251565e-16,6.958220160524498e-05,3276700
0.5,17,0,1.1102230246251565e-16,0.0002578755025902102,13107100
0.5,17,1,1.1102230246251565e-16,0.00024833868666596093,13107100
0.5,17,2,1.1102230246251565e-16,2.9068214936922576e-05,13107100
0.5,17,3,1.1102230246251565e-16,6.97331980377136e-05,13107100
0.5,17,4,1.1102230246251565e-16,0.0001463329035408245,13107100
0.5,17,5,1.1102230246251565e-16,6.912284181859185e-05,13107100
0.5,17,6,1.1102230246251565e-16,2.5024604985102172e-05,13107100
0.5,17,7,1.1102230246251565e-16,3.417994827231707e-05,13107100
0.5,17,8,1.1102230246251565e-16,7.522640401003144e-05,13107100
