OBJECT_A,OBJECT_B,MISS_DISTANCE_KM,ANALYTIC_PC,ALTITUDE_DIFF_KM,INCLINATION_DIFF_DEG,MEAN_ECCENTRICITY
FENGYUN 1C DEB,COSMOS 2251 DEB,6.648085319498727,8.953925613908749e-07,629.790299212923,25.384,0.04343082
HST,USA 119,10.63617880018107,7.536545991348473e-07,613.8735505519039,34.847,0.042822145
COSMOS 2251 DEB,RIGIDSPHERE 2 (LCS 4),13.060776618416876,6.528159767389079e-07,7.089646515026743,13.591499999999996,0.00402354
IRIDIUM 33 DEB,COSMOS 2251 DEB,13.184042513004128,6.475574747934173e-07,9.303635639723325,12.376199999999997,0.0018885549999999999
IRIDIUM 33 DEB,COSMOS 2251 DEB,14.67479244249213,5.836965345155225e-07,30.33124436383514,12.272999999999996,0.00671391
ORBCOMM FM04,ORBCOMM FM27,14.917015703802518,5.733301124822485e-07,11.309913602189226,62.9544,0.0021885399999999997
COSMOS 2251 DEB,LUSAT (LO-19),15.07061880868812,5.667658098857287e-07,5.012728431879623,24.848799999999997,0.00130667
IRIDIUM 33 DEB,IRIDIUM 33 DEB,16.55013535912,5.042073894071755e-07,33.80726521183533,0.238900000000001,0.004522905
ORBCOMM FM06,SCD 2,16.597176063178722,5.02245724082437e-07,7.104508934675778,20.017400000000002,0.00085645
IRIDIUM 33 DEB,SCD 1,18.557510005074384,4.2275899524708096e-07,13.09261026766535,61.3937,0.00279175
COSMOS 2251 DEB,ORBCOMM FM04,20.109714484343183,3.638543837222159e-07,24.181470048706615,33.925200000000004,0.0032157949999999996
COSMOS 2251 DEB,ORBCOMM FM27,26.64358641020586,1.6953407250326112e-07,11.422559053256009,29.025799999999997,0.00117334
FENGYUN 1C DEB,WESTPAC,28.505792761908392,1.3114521782467895e-07,597.693747397414,0.3978000000000037,0.042785995
RIGIDSPHERE 2 (LCS 4),ITAMSAT (IO-26),28.80682536170952,1.256088668803246e-07,21.799237200898006,11.053000000000011,0.0033674300000000002
COSMOS 2251 DEB,FORTE,30.562210199758127,9.679876305148367e-08,15.590217637472051,4.083100000000002,0.001835175
EYESAT A (AO-27),TECHSAT 1B (GO-32),32.11391299428729,7.590613784076997e-08,21.844694741071635,0.33089999999999975,0.000458545
COSMOS 2251 DEB,ITAMSAT (IO-26),32.135491368798114,7.564350314110344e-08,14.709590685871262,24.644500000000008,0.00146179
